country,description,log_price_normalized,points_normalized,vfm_normalized,log_pxp_normalized,encoded_variety,acidity,aromas,black,cherry,dry,finish,flavors,fruit,oak,palate,rich,ripe,sweet,tannins,wine,adj_count,adjectives,polarity,subjectivity
US,"Very good Dry Creek Zin, robust and dry and spicy. Really gets the tastebuds watering, with its tart flavors of sour cherry candy, red currants, blueberries, tart raisins and oodles of peppery spices. Drink this lusty wine with barbecue.",0.3283771284011352,0.4999999999999991,0.24640701328193076,0.3354511934847859,1.0,0.0,0.0,0.0,0.3868582979361544,0.8416886420069765,0.0,0.2660500874242268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666800296534307,9,"['good', 'robust', 'dry', 'spicy', 'tart', 'sour', 'red', 'tart', 'lusty']",0.1038095238095238,0.3971428571428572
France,"A very herbaceous character makes this wine seem rather thin. It's soft and lightweight, and the lemon zest character is mildly attractive. Ready to drink.",0.27703216391229124,0.22222222222222143,0.29335375353172616,0.272455781704775,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,"['herbaceous', 'thin', 'soft', 'lightweight', 'zest', 'attractive', 'ready']",0.18000000000000002,0.6
US,"A little simple and easy, but there's a wealth of raspberry, strawberry and floral notes in this delicate wine. It's a bit too sweet for my tastes, although it does have good acidity.",0.265229661158644,0.22222222222222143,0.3095689105258989,0.26095624540815643,0.7403846153846154,0.6050173608788567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6879759463837662,0.0,0.4008030566656701,7,"['little', 'simple', 'easy', 'floral', 'delicate', 'sweet', 'good']",0.16597222222222222,0.6400793650793651
US,"From a dry-farmed vineyard and treated to wild yeast and minimal new French oak, this Petite is chewy in leathery tannins, a definite crowd pleaser for Petite fans. Blackberries, coffee and pepper commingle impressively.",0.4247216884289221,0.44444444444444375,0.15513884391472993,0.4268114130047198,0.5865384615384616,0.0,0.0,0.0,0.0,0.5793246674578925,0.0,0.0,0.0,0.6078258160800204,0.0,0.0,0.0,0.0,0.5430752314196068,0.0,6,"['wild', 'minimal', 'new', 'french', 'definite', 'petite']",0.18939393939393936,0.49242424242424243
US,"From a site near Annapolis, this wine shows a preponderance of dark grape and cherry flavor interwoven with cinnamon and black peppercorn. Light-bodied and ethereally layered, it has touches of rustic earthiness and leather.",0.5373659306511478,0.6111111111111107,0.09293092595321469,0.5441239333095664,0.6346153846153847,0.0,0.0,0.6912241021774542,0.5949722464458673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41014298302924856,5,"['dark', 'cinnamon', 'black', 'bodied', 'rustic']",-0.07222222222222222,0.41111111111111115
US,"A mix of Cabernet, Cab Franc and Syrah, this out-of-the-ordinary blend is a little funky and meaty, but still offers lots of juicy black fruit and a whole lot of toasted oak. If any one thing announces itself here it's the wood, which keeps everything austere and maybe a touch overcharred.",0.44775072778616076,0.4999999999999991,0.1407069864992814,0.4517907546916591,0.06730769230769232,0.0,0.0,0.6336532839021223,0.0,0.0,0.0,0.0,0.45928989313128565,0.6225241440036755,0.0,0.0,0.0,0.0,0.0,0.0,9,"['out', 'ordinary', 'little', 'funky', 'juicy', 'black', 'whole', 'toasted', 'austere']",-0.01354166666666666,0.33333333333333337
Italy,"Taurasi is a wine that flaunts a determined and powerful personality, and Fatica Contadina is no exception, thanks to its deep layers of spice, dark fruit, tobacco and cigar that it delivers to the senses. On the palate, it is austere and tightly structured.",0.3851792266937255,0.4999999999999991,0.18928236645454305,0.3908069565442631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204598635797233,0.0,0.7399975230545348,0.0,0.0,0.0,0.0,0.4260577381948708,5,"['determined', 'powerful', 'deep', 'dark', 'austere']",0.03428571428571428,0.45714285714285713
US,"Sourced entirely from Walla Walla's Les Collines Vineyard, this lovely Syrah features pretty strawberry and cherry flavors that are broadly displayed with a rich vein of chocolate. It's forward and flavorful, drinking quite nicely already, but with the stuffing to cellar for a few more years.",0.43652419118256935,0.5555555555555554,0.15031290433313088,0.44335451114142166,0.8365384615384616,0.0,0.0,0.0,0.5823517078524335,0.0,0.0,0.40049476413546536,0.0,0.0,0.0,0.7074393488218138,0.0,0.0,0.0,0.0,6,"['lovely', 'pretty', 'rich', 'flavorful', 'few', 'more']",0.26093750000000004,0.6296875
US,"There's a lot to like about this Viognier. It's dry and zesty in acidity, with complex flavors of citrus, peach, kumquat, white pepper, chamomile and honey.",0.27703216391229124,0.5555555555555554,0.3153600380238177,0.28792396848084834,0.9615384615384616,0.6287307234405035,0.0,0.0,0.0,0.6572927582423327,0.0,0.41552846757372386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"['dry', 'zesty', 'complex', 'white']",-0.12222222222222222,0.3333333333333333
US,"A crisp, refreshing Sauvignon Blanc, fermented and aged in stainless steel. Shows rich, savory citrus and green grass flavors, with hints of minerals and flowers. Very drinkable and bone-dry.",0.28825870051588276,0.5555555555555554,0.2996412633866094,0.29886307288789493,0.7980769230769231,0.0,0.0,0.0,0.0,0.6146826144835581,0.0,0.3885911135299541,0.0,0.0,0.0,0.6864125799671856,0.0,0.0,0.0,0.0,7,"['crisp', 'stainless', 'rich', 'savory', 'green', 'drinkable', 'dry']",0.17500000000000002,0.48095238095238096
