country,description,log_price_normalized,points_normalized,vfm_normalized,log_pxp_normalized,encoded_variety
US,"Very good Dry Creek Zin, robust and dry and spicy. Really gets the tastebuds watering, with its tart flavors of sour cherry candy, red currants, blueberries, tart raisins and oodles of peppery spices. Drink this lusty wine with barbecue.",0.3283771284011352,0.4999999999999991,0.24640701328193076,0.3354511934847859,1.0
France,"A very herbaceous character makes this wine seem rather thin. It's soft and lightweight, and the lemon zest character is mildly attractive. Ready to drink.",0.27703216391229124,0.22222222222222143,0.29335375353172616,0.272455781704775,0.07692307692307693
US,"A little simple and easy, but there's a wealth of raspberry, strawberry and floral notes in this delicate wine. It's a bit too sweet for my tastes, although it does have good acidity.",0.265229661158644,0.22222222222222143,0.3095689105258989,0.26095624540815643,0.7403846153846154
US,"From a dry-farmed vineyard and treated to wild yeast and minimal new French oak, this Petite is chewy in leathery tannins, a definite crowd pleaser for Petite fans. Blackberries, coffee and pepper commingle impressively.",0.4247216884289221,0.44444444444444375,0.15513884391472993,0.4268114130047198,0.5865384615384616
US,"From a site near Annapolis, this wine shows a preponderance of dark grape and cherry flavor interwoven with cinnamon and black peppercorn. Light-bodied and ethereally layered, it has touches of rustic earthiness and leather.",0.5373659306511478,0.6111111111111107,0.09293092595321469,0.5441239333095664,0.6346153846153847
US,"A mix of Cabernet, Cab Franc and Syrah, this out-of-the-ordinary blend is a little funky and meaty, but still offers lots of juicy black fruit and a whole lot of toasted oak. If any one thing announces itself here it's the wood, which keeps everything austere and maybe a touch overcharred.",0.44775072778616076,0.4999999999999991,0.1407069864992814,0.4517907546916591,0.06730769230769232
Italy,"Taurasi is a wine that flaunts a determined and powerful personality, and Fatica Contadina is no exception, thanks to its deep layers of spice, dark fruit, tobacco and cigar that it delivers to the senses. On the palate, it is austere and tightly structured.",0.3851792266937255,0.4999999999999991,0.18928236645454305,0.3908069565442631,0.0
US,"Sourced entirely from Walla Walla's Les Collines Vineyard, this lovely Syrah features pretty strawberry and cherry flavors that are broadly displayed with a rich vein of chocolate. It's forward and flavorful, drinking quite nicely already, but with the stuffing to cellar for a few more years.",0.43652419118256935,0.5555555555555554,0.15031290433313088,0.44335451114142166,0.8365384615384616
US,"There's a lot to like about this Viognier. It's dry and zesty in acidity, with complex flavors of citrus, peach, kumquat, white pepper, chamomile and honey.",0.27703216391229124,0.5555555555555554,0.3153600380238177,0.28792396848084834,0.9615384615384616
US,"A crisp, refreshing Sauvignon Blanc, fermented and aged in stainless steel. Shows rich, savory citrus and green grass flavors, with hints of minerals and flowers. Very drinkable and bone-dry.",0.28825870051588276,0.5555555555555554,0.2996412633866094,0.29886307288789493,0.7980769230769231
